Target	AverageTargetDepthAcrossHSP	max100AverageTargetDepth
allCTS_:_contig100960|B4GALT3|11_:_Contig001_contig100960|B4GALT3|11	10.5063528507036	12.3260031511133
allCTS_:_contig100976|SNX13|3_:_Contig001_contig100976|SNX13|3	9.25868687763771	10.4712233687651
allCTS_:_contig100985|AIFM3|11_:_Contig001_contig100985|AIFM3|11	5.19048032152179	5.70635906980254
allCTS_:_contig101005|APRT|8_:_Contig001_contig101005|APRT|8	10.3261202848851	13.1757794014469
allCTS_:_contig101012|TMEM165|6_:_Contig001_contig101012|TMEM165|6	6.54037681551648	7.90646800068164
allCTS_:_contig101023|PLEKHM2|6_:_Contig001_contig101023|PLEKHM2|6	4.78853202168374	5.50899681278117
allCTS_:_contig101030|DPP3|11_:_Contig001_contig101030|DPP3|11	12.0062586193684	14.1679539410164
allCTS_:_contig101039|GTF2I|7_:_Contig002_contig101039|GTF2I|7	5.60206047760268	6.27499982034254
allCTS_:_contig101056|PACRG|9_:_Contig002_contig101056|PACRG|9	23.6512291672622	25.8408498685778
allCTS_:_contig101066|RCBTB1|6_:_Contig001_contig101066|RCBTB1|6	3.02330404524998	3.51500247843609
allCTS_:_contig101087|MAT2A|6_:_Contig001_contig101087|MAT2A|6	3.8716982042895	5.06380329951382
allCTS_:_contig101093|UHRF2|8_:_Contig001_contig101093|UHRF2|8	9.93434375872079	11.6148937413313
allCTS_:_contig101239|NR4A1|11_:_Contig001_contig101239|NR4A1|11	2.91609333683329	3.69430088901742
allCTS_:_contig1013065|RPL18|8_:_Contig003_contig1013065|RPL18|8	2.12592717947685	2.52409585142708
allCTS_:_contig101309|UNC93B1|6_:_Contig001_contig101309|UNC93B1|6	7.84633113105894	8.41446277024636
allCTS_:_contig101337|KIF20B|12_:_Contig001_contig101337|KIF20B|12	10.798854671561	14.1866154676324
allCTS_:_contig101346|CASP5|6_:_Contig002_contig101346|CASP5|6	6.8998834081421	7.88242072670527
allCTS_:_contig101408|HEXB|8_:_Contig003_contig101408|HEXB|8	3.55376266381037	3.86508674988564
allCTS_:_contig101425|CEP19|3_:_Contig001_contig101425|CEP19|3	9.18985033541327	10.5013719209804
allCTS_:_contig101438|POU2F1|6_:_Contig001_contig101438|POU2F1|6	2.71316710974196	3.02416615193509
allCTS_:_contig101527|C12orf51|9_:_Contig001_contig101527|C12orf51|9	8.99773834521738	9.940611281871
allCTS_:_contig101543|LUC7L2|11_:_Contig001_contig101543|LUC7L2|11	3.79367722526983	4.25182874378745
allCTS_:_contig101569|POLK|8_:_Contig001_contig101569|POLK|8	9.25414841093618	9.84298742192018
allCTS_:_contig101614|SENP5|8_:_Contig001_contig101614|SENP5|8	9.92674906265875	12.1558920691178
allCTS_:_contig101632|PIGL|12_:_Contig001_contig101632|PIGL|12	12.6340389762677	15.7621237391702
allCTS_:_contig101654|POLA2|8_:_Contig001_contig101654|POLA2|8	7.51117998354909	7.62600474145346
allCTS_:_contig101661|E7C7|OPA_:_Contig001_contig101661|E7C7|OPA	9.7846111975021	11.92611032922
allCTS_:_contig101724|CDC16|2_:_Contig001_contig101724|CDC16|2	6.70495959668864	7.11302364416564
allCTS_:_contig101984|TMEM213|11_:_Contig001_contig101984|TMEM213|11	4.46047409827767	5.49004346850273
allCTS_:_contig102182|PDLIM3|6_:_Contig001_contig102182|PDLIM3|6	5.30713400907556	5.93016283728655
allCTS_:_contig102193|PHB|6_:_Contig002_contig102193|PHB|6	9.05262055797936	12.7039473839815
allCTS_:_contig102247|TAMM41|6_:_Contig001_contig102247|TAMM41|6	3.770129439045	4.62251539035927
allCTS_:_contig102419|DNAJC27|6_:_Contig004_contig102419|DNAJC27|6	4.01103424162058	4.79878954116891
allCTS_:_contig102622|MRPL27|8_:_Contig001_contig102622|MRPL27|8	5.74903430973697	6.657797214566
allCTS_:_contig1027454|MTUS2|8_:_Contig001_contig1027454|MTUS2|8	4.22769898107834	4.92241313134527
