Sample	AverageTargetDepthAcrossHSP	max100AverageTargetDepth
01A_0801_CTS	6.26636516295526	7.67874085994101
01A_0809_F1	18.630524260154	21.7635513420916
01A_0905_BTS	6.57709750773491	7.73651299650761
01B_0802_CTS	13.2219826037906	15.8498512050604
01B_0810_F1	20.8944925281373	24.4542958267543
01B_0906_BTS	6.32203935819951	7.30718065328962
01C_0803_CTS	7.69926551355284	9.27280876588455
01C_0811_F1	7.7423945325203	9.41788044445645
01C_0907_BTS	5.94144385546596	6.86438189390535
01D_0804_CTS	7.53597598670661	9.31246536514445
01D_0812_F1	7.77882988312208	9.29953987593393
01D_0908_BTS	5.98575890852999	6.87873086762169
01E_0805_CTS	13.9657076181962	16.5924448364889
01E_0901_BTS	8.73174026648485	10.6210687446086
01E_0909_BTS	7.85617380239351	9.20141887566485
01F_0806_CTS	7.68120060843551	9.32047675804089
01F_0902_BTS	8.64641784868039	10.5976790566683
01F_0910_DSN_BTS	0.402689930310956	0.647048883080755
01G_0807_F1	0.26761936748417	0.467848649108237
01G_0903_BTS	11.9065464812666	14.302473379817
01G_0911_DSN_CTS	0.308866487141278	0.491776217169291
01H_0808_F1	8.52356105995496	10.1939576997022
01H_0904_BTS	8.4332621979004	10.0917917919235
02A_0801_F1	4.6942573719777	5.723480207364
02A_0905_BTS	8.1610024966018	9.80261227413835
02B_0802_F1	4.45070942822827	5.35634412520751
02B_0906_CTS	4.74370538194626	5.64445797285929
02C_0803_F1	5.45502589074027	6.6311363151251
02C_0907_CTS	4.65899403374512	5.75967202400159
02D_0804_F1	8.36630175220733	9.71558208045438
02D_0908_CTS	5.66927539718764	6.6980882045896
02E_0805_F1	9.66751142298627	11.4944822446286
02E_0909_CTS	5.38586949600775	6.55179450958085
02F_0806_BTS	5.08262016714024	6.14988045883848
02F_0910_CTS	8.55271622892469	9.95815331320347
02G_0807_BTS	4.96148176743832	5.9046694505452
02G_0911_CTS	9.59725239186789	11.4917870663546
02H_0808_BTS	8.66661735453719	10.0515923603941
02H_0912_F1	4.82061867734991	5.82824112409209
03A_0809_BTS	6.09300464937427	7.23768168372491
03A_0905_CTS	7.64421886355462	8.9060213605347
03B_0810_BTS	10.11458416279	11.7411309865064
03B_0906_F1	6.0270196548569	7.1023162462242
03C_0811_BTS	8.81720926680532	10.2175974264615
03C_0907_F1	6.35716995586373	7.78005181126471
03D_0812_CTS	5.75054084421278	6.80774719638185
03D_0908_F1	10.5220486195737	12.2468209614336
03E_0901_CTS	6.15082722801254	7.5308224679035
03E_0909_F1	10.1117374935036	12.0635362747409
03F_0902_CTS	9.32940653857793	10.9164502414646
03F_0910_F1	8.47527646136241	9.80628349844693
03G_0903_CTS	10.219612080458	12.101321378149
03G_0911_F1	9.45010348300243	11.2312146818604
03H_0904_CTS	7.82947756245022	9.35327219556372
03H_0912_BTS	6.97518323348818	8.46348650202104
